,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3393,Rubiácea,Pública,6.3,6.9,6.3,6.9,6.6,7,"7,1","7,3","7,5",1º ao 5º ano,3544400.0,False,True,False
3394,Rubiácea,Pública,5.5,5.3,5.5,5.4,5.7,"5,6","5,8",6,"6,3",6º ao 9º ano,3544400.0,True,False,False
3397,Rubinéia,Estadual,5.5,5.7,5.7,5.5,5.6,"5,9","6,1","6,4","6,6",6º ao 9º ano,3544509.0,True,False,False
3398,Rubinéia,Municipal,6.1,7.1,6.8,6.6,6.9,"6,8","7,1","7,2","7,4",1º ao 5º ano,3544509.0,False,True,False
3399,Rubinéia,Pública,6.1,7.1,6.8,6.6,6.9,"6,8","7,1","7,2","7,4",1º ao 5º ano,3544509.0,False,True,False
3400,Rubinéia,Pública,5.5,5.7,5.7,5.5,5.6,"5,9","6,1","6,4","6,6",6º ao 9º ano,3544509.0,True,False,False
3403,Sabino,Estadual,4.9,4.5,4.5,4.3,4.3,"4,9","5,2","5,4","5,7",6º ao 9º ano,3544608.0,True,False,False
3404,Sabino,Municipal,6.8,5.8,6.3,6.4,6.5,"5,5","5,7",6,"6,3",1º ao 5º ano,3544608.0,False,True,False
3405,Sabino,Pública,6.8,5.8,6.3,6.4,6.5,"5,5","5,7",6,"6,3",1º ao 5º ano,3544608.0,False,True,False
3406,Sabino,Pública,4.9,4.5,4.5,4.3,4.3,"4,9","5,2","5,4","5,7",6º ao 9º ano,3544608.0,True,False,False
3415,Sales,Estadual,5.1,5.2,5.4,5.6,5.1,"5,6","5,9","6,1","6,3",6º ao 9º ano,3544806.0,True,False,False
3418,Sales,Pública,5.1,5.2,5.4,5.6,5.1,"5,6","5,9","6,1","6,3",6º ao 9º ano,3544806.0,True,False,False
3422,Sales Oliveira,Municipal,6.2,6.4,6.3,5.7,6.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3544905.0,False,True,False
3423,Sales Oliveira,Pública,6.2,6.4,6.3,5.7,6.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3544905.0,False,True,False
3427,Salesópolis,Estadual,5.0,5.5,5.8,5.5,5.5,"5,6","5,8",6,"6,3",6º ao 9º ano,3545001.0,True,False,False
3428,Salesópolis,Municipal,6.4,6.5,6.4,5.7,6.7,6,"6,3","6,5","6,7",1º ao 5º ano,3545001.0,False,True,False
3429,Salesópolis,Pública,6.4,6.5,6.4,5.7,6.7,6,"6,3","6,5","6,7",1º ao 5º ano,3545001.0,False,True,False
