,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
962,ALUNO-963,1.0,G,Escola Pública,Ingressante,Ametista,7.885,7.0,9.6,7.5,7.3,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não,8.8,5.0,Nível 2 (5o e 6o ano),-1.0,2021
963,ALUNO-964,2.0,G,Escola Pública,Ingressante,Ágata,6.029,0.0,5.4,7.5,6.3,8.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.0,5.0,Nível 3 (7o e 8o ano),-1.0,2021
964,ALUNO-965,3.0,C,Escola Pública,Veterano,Ametista,7.239,8.8,6.1,7.5,5.0,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
965,ALUNO-966,0.0,K,Escola Pública,Ingressante,Quartzo,3.3,8.0,0.0,7.5,0.0,2.5,Não avaliado,Alocado em Fase anterior,Não avaliado,Não avaliado,Não,5.0,5.0,Nível 2 (5o e 6o ano),-2.0,2021
968,ALUNO-969,0.0,J,Escola Pública,Ingressante,Topázio,8.596,9.5,10.0,7.5,7.7,8.8,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Sim,9.9,5.0,Nível 2 (5o e 6o ano),-2.0,2021
971,ALUNO-972,0.0,R,Escola Pública,Ingressante,Topázio,8.254,9.5,10.0,7.5,6.6,8.1,Promovido de Fase,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,Sim,9.6,5.0,Nível 1 (4o ano),-1.0,2021
972,ALUNO-973,1.0,N,Escola Pública,Veterano,Ágata,5.933,6.3,7.9,6.3,2.7,6.9,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.8,5.0,Nível 2 (5o e 6o ano),-1.0,2021
976,ALUNO-977,1.0,B,Escola Pública,Ingressante,Ágata,6.249,9.0,7.1,7.5,5.4,5.8,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.1,5.0,Nível 2 (5o e 6o ano),-1.0,2021
982,ALUNO-983,3.0,L,Rede Decisão,Veterano,Topázio,8.296,7.9,7.5,7.5,7.2,8.5,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Sim,9.8,10.0,Nível 2 (5o e 6o ano),1.0,2021
983,ALUNO-984,1.0,G,Escola Pública,Veterano,Quartzo,4.081,9.5,0.4,7.5,1.1,7.2,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.3,5.0,Nível 2 (5o e 6o ano),-1.0,2021
985,ALUNO-986,4.0,F,Escola Pública,Veterano,Ágata,6.427,8.8,6.4,1.9,6.3,8.3,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,7.5,5.0,Nível 5 (1o EM),-1.0,2021
986,ALUNO-987,0.0,L,Escola Pública,Ingressante,Ametista,7.965,9.0,8.3,7.5,6.1,7.2,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.6,10.0,ALFA  (2o e 3o ano),0.0,2021
988,ALUNO-989,2.0,P,Escola Pública,Veterano,Quartzo,5.207,0.0,3.3,7.5,5.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,6.9,5.0,Nível 3 (7o e 8o ano),-1.0,2021
990,ALUNO-991,2.0,N,Escola Pública,Veterano,Ametista,7.107,9.0,5.4,7.5,5.2,7.9,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.7,10.0,Nível 2 (5o e 6o ano),0.0,2021
992,ALUNO-993,5.0,F,Rede Decisão,Veterano,Ágata,6.05,5.4,3.6,5.0,6.6,7.0,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não,6.3,10.0,Nível 5 (1o EM),0.0,2021
993,ALUNO-994,2.0,H,Escola Pública,Veterano,Ametista,7.604,9.5,7.5,7.5,7.4,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
994,ALUNO-995,1.0,F,Escola Pública,Veterano,Ágata,5.751,8.0,5.8,7.5,0.9,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,5.0,Nível 2 (5o e 6o ano),-1.0,2021
995,ALUNO-996,2.0,G,Rede Decisão,Veterano,Ametista,6.892,9.0,5.8,7.5,5.6,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.2,10.0,Nível 2 (5o e 6o ano),0.0,2021
996,ALUNO-997,2.0,A,Rede Decisão,Veterano,Topázio,8.767,8.5,10.0,5.0,8.6,7.9,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Sim,9.5,10.0,Nível 2 (5o e 6o ano),0.0,2021
